время,координата,плотность,сера
1728.38,4400,850,0.6
1728.38,4500,850,0.6
1728.38,4600,850,0.6
1728.38,4700,850,0.6
1728.38,4800,850,0.6
1728.38,4900,850,0.6
1728.38,5000,850,0.6
1728.38,5100,850,0.6
1728.38,5200,850,0.6
1728.38,5300,850,0.6
1728.38,5400,850,0.6
1728.38,5500,850,0.6
1728.38,5600,850,0.6
1728.38,5700,850,0.6
1728.38,5800,850,0.6
1728.38,5900,850,0.6
1728.38,6000,850,0.6
1728.38,6100,850,0.6
1728.38,6200,850,0.6
1728.38,6300,850,0.6
1728.38,6400,850,0.6
1728.38,6500,850,0.6
1728.38,6600,850,0.6
1728.38,6700,850,0.6
1728.38,6800,850,0.6
1728.38,6900,850,0.6
1728.38,7000,850,0.6
1728.38,7100,850,0.6
1728.38,7200,850,0.6
1728.38,7300,850,0.6
1728.38,7400,850,0.6
1728.38,7500,850,0.6
1728.38,7600,850,0.6
1728.38,7700,850,0.6
1728.38,7800,850,0.6
1728.38,7900,850,0.6
1728.38,8000,850,0.6
1728.38,8100,850,0.6
1728.38,8200,850,0.6
1728.38,8300,850,0.6
1728.38,8400,850,0.6
1728.38,8500,850,0.6
1728.38,8600,850,0.6
1728.38,8700,850,0.6
1728.38,8800,850,0.6
1728.38,8900,850,0.6
1728.38,9000,850,0.6
1728.38,9100,850,0.6
1728.38,9200,850,0.6
1728.38,9300,850,0.6
1728.38,9400,850,0.6
1728.38,9500,850,0.6
1728.38,9600,850,0.6
1728.38,9700,850,0.6
1728.38,9800,850,0.6
1728.38,9900,850,0.6
1728.38,10000,850,0.6
1794.85,0,860,0.9
1794.85,100,860,0.9
1794.85,200,860,0.9
1794.85,300,860,0.9
1794.85,400,860,0.9
1794.85,500,860,0.9
1794.85,600,860,0.9
1794.85,700,860,0.9
1794.85,800,860,0.9
1794.85,900,860,0.9
1794.85,1000,860,0.9
1794.85,1100,860,0.9
1794.85,1200,860,0.9
1794.85,1300,860,0.9
1794.85,1400,860,0.9
1794.85,1500,860,0.9
1794.85,1600,860,0.9
1794.85,1700,860,0.9
1794.85,1800,860,0.9
1794.85,1900,860,0.9
1794.85,2000,860,0.9
1794.85,2100,860,0.9
1794.85,2200,860,0.9
1794.85,2300,860,0.9
1794.85,2400,860,0.9
1794.85,2500,860,0.9
1794.85,2600,860,0.9
1794.85,2700,850,0.6
1794.85,2800,850,0.6
1794.85,2900,850,0.6
1794.85,3000,850,0.6
1794.85,3100,850,0.6
1794.85,3200,850,0.6
1794.85,3300,850,0.6
1794.85,3400,850,0.6
1794.85,3500,850,0.6
1794.85,3600,850,0.6
1794.85,3700,850,0.6
1794.85,3800,850,0.6
1794.85,3900,850,0.6
1794.85,4000,850,0.6
1794.85,4100,850,0.6
1794.85,4200,850,0.6
1794.85,4300,850,0.6
1794.85,4400,850,0.6
1794.85,4500,850,0.6
1794.85,4600,850,0.6
1794.85,4700,850,0.6
1794.85,4800,850,0.6
1794.85,4900,850,0.6
1794.85,5000,850,0.6
1794.85,5100,850,0.6
1794.85,5200,850,0.6
1794.85,5300,850,0.6
1794.85,5400,850,0.6
1794.85,5500,850,0.6
1794.85,5600,850,0.6
1794.85,5700,850,0.6
1794.85,5800,850,0.6
1794.85,5900,850,0.6
1794.85,6000,850,0.6
1794.85,6100,850,0.6
1794.85,6200,850,0.6
1794.85,6300,850,0.6
1794.85,6400,850,0.6
1794.85,6500,850,0.6
1794.85,6600,850,0.6
1794.85,6700,850,0.6
1794.85,6800,850,0.6
1794.85,6900,850,0.6
1794.85,7000,850,0.6
1794.85,7100,850,0.6
1794.85,7200,850,0.6
1794.85,7300,850,0.6
1794.85,7400,850,0.6
1794.85,7500,850,0.6
